Name,RequiredServices,CanPauseAndContinue,CanShutdown,CanStop,DisplayName,DependentServices,MachineName,ServiceName,ServicesDependedOn,ServiceHandle,Status,ServiceType,Site,Container
clr_optimization_v4.0.30319_32,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Microsoft .NET Framework NGEN v4.0.30319_X86,System.ServiceProcess.ServiceController[],.,clr_optimization_v4.0.30319_32,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
clr_optimization_v4.0.30319_64,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Microsoft .NET Framework NGEN v4.0.30319_X64,System.ServiceProcess.ServiceController[],.,clr_optimization_v4.0.30319_64,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
CmRcService,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Configuration Manager Remote Control,System.ServiceProcess.ServiceController[],.,CmRcService,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
COMSysApp,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,COM+ System Application,System.ServiceProcess.ServiceController[],.,COMSysApp,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
cphs,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Intel(R) Content Protection HECI Service,System.ServiceProcess.ServiceController[],.,cphs,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
CryptSvc,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Cryptographic Services,System.ServiceProcess.ServiceController[],.,CryptSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
CscService,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Offline Files,System.ServiceProcess.ServiceController[],.,CscService,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
dbupdate,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Dropbox Update Service (dbupdate),System.ServiceProcess.ServiceController[],.,dbupdate,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
dbupdatem,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Dropbox Update Service (dbupdatem),System.ServiceProcess.ServiceController[],.,dbupdatem,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
DbxSvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,DbxSvc,System.ServiceProcess.ServiceController[],.,DbxSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
DcomLaunch,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,DCOM Server Process Launcher,System.ServiceProcess.ServiceController[],.,DcomLaunch,System.ServiceProcess.ServiceController[],,Running,Win32ShareProcess,,
defragsvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Disk Defragmenter,System.ServiceProcess.ServiceController[],.,defragsvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
Dhcp,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,DHCP Client,System.ServiceProcess.ServiceController[],.,Dhcp,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
DiagTrack,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Diagnostics Tracking Service,System.ServiceProcess.ServiceController[],.,DiagTrack,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
Dnscache,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,DNS Client,System.ServiceProcess.ServiceController[],.,Dnscache,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
dot3svc,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Wired AutoConfig,System.ServiceProcess.ServiceController[],.,dot3svc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
DPS,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Diagnostic Policy Service,System.ServiceProcess.ServiceController[],.,DPS,System.ServiceProcess.ServiceController[],,Running,Win32ShareProcess,,
EapHost,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Extensible Authentication Protocol,System.ServiceProcess.ServiceController[],.,EapHost,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
