Name,RequiredServices,CanPauseAndContinue,CanShutdown,CanStop,DisplayName,DependentServices,MachineName,ServiceName,ServicesDependedOn,ServiceHandle,Status,ServiceType,Site,Container
PlugPlay,System.ServiceProcess.ServiceController[],FALSE,TRUE,FALSE,Plug and Play,System.ServiceProcess.ServiceController[],.,PlugPlay,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
Pml Driver HPZ12,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Pml Driver HPZ12,System.ServiceProcess.ServiceController[],.,Pml Driver HPZ12,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
PNRPAutoReg,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,PNRP Machine Name Publication Service,System.ServiceProcess.ServiceController[],.,PNRPAutoReg,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
PNRPsvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Peer Name Resolution Protocol,System.ServiceProcess.ServiceController[],.,PNRPsvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
PolicyAgent,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,IPsec Policy Agent,System.ServiceProcess.ServiceController[],.,PolicyAgent,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
Power,System.ServiceProcess.ServiceController[],FALSE,TRUE,FALSE,Power,System.ServiceProcess.ServiceController[],.,Power,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
ProfSvc,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,User Profile Service,System.ServiceProcess.ServiceController[],.,ProfSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
ProtectedStorage,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Protected Storage,System.ServiceProcess.ServiceController[],.,ProtectedStorage,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
QWAVE,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Quality Windows Audio Video Experience,System.ServiceProcess.ServiceController[],.,QWAVE,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
RasAuto,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Remote Access Auto Connection Manager,System.ServiceProcess.ServiceController[],.,RasAuto,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
RasMan,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Remote Access Connection Manager,System.ServiceProcess.ServiceController[],.,RasMan,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
RegSrvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Intel(R) PROSet/Wireless Registry Service,System.ServiceProcess.ServiceController[],.,RegSrvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
RemoteAccess,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Routing and Remote Access,System.ServiceProcess.ServiceController[],.,RemoteAccess,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
RemoteRegistry,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Remote Registry,System.ServiceProcess.ServiceController[],.,RemoteRegistry,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
RpcEptMapper,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,RPC Endpoint Mapper,System.ServiceProcess.ServiceController[],.,RpcEptMapper,System.ServiceProcess.ServiceController[],,Running,Win32ShareProcess,,
RpcLocator,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Remote Procedure Call (RPC) Locator,System.ServiceProcess.ServiceController[],.,RpcLocator,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
RpcSs,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Remote Procedure Call (RPC),System.ServiceProcess.ServiceController[],.,RpcSs,System.ServiceProcess.ServiceController[],,Running,Win32ShareProcess,,
SamSs,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Security Accounts Manager,System.ServiceProcess.ServiceController[],.,SamSs,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
SCardSvr,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Smart Card,System.ServiceProcess.ServiceController[],.,SCardSvr,System.ServiceProcess.ServiceController[],,Running,Win32ShareProcess,,
Schedule,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Task Scheduler,System.ServiceProcess.ServiceController[],.,Schedule,System.ServiceProcess.ServiceController[],,Running,Win32ShareProcess,,
SCPolicySvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Smart Card Removal Policy,System.ServiceProcess.ServiceController[],.,SCPolicySvc,System.ServiceProcess.ServiceController[],,Stopped,Win32ShareProcess,,
SDRSVC,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Windows Backup,System.ServiceProcess.ServiceController[],.,SDRSVC,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
seclogon,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Secondary Logon,System.ServiceProcess.ServiceController[],.,seclogon,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
SENS,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,System Event Notification Service,System.ServiceProcess.ServiceController[],.,SENS,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
SensrSvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Adaptive Brightness,System.ServiceProcess.ServiceController[],.,SensrSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
SepMasterService,System.ServiceProcess.ServiceController[],FALSE,TRUE,FALSE,Symantec Endpoint Protection,System.ServiceProcess.ServiceController[],.,SepMasterService,System.ServiceProcess.ServiceController[],,Running,Win32OwnProcess,,
SessionEnv,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Remote Desktop Configuration,System.ServiceProcess.ServiceController[],.,SessionEnv,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
SharedAccess,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Internet Connection Sharing (ICS),System.ServiceProcess.ServiceController[],.,SharedAccess,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
ShellHWDetection,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Shell Hardware Detection,System.ServiceProcess.ServiceController[],.,ShellHWDetection,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
SkypeUpdate,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Skype Updater,System.ServiceProcess.ServiceController[],.,SkypeUpdate,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
smstsmgr,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,ConfigMgr Task Sequence Agent,System.ServiceProcess.ServiceController[],.,smstsmgr,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
SNAC,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Symantec Network Access Control,System.ServiceProcess.ServiceController[],.,SNAC,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
SNMPTRAP,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,SNMP Trap,System.ServiceProcess.ServiceController[],.,SNMPTRAP,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
Spooler,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Print Spooler,System.ServiceProcess.ServiceController[],.,Spooler,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,"Win32OwnProcess, InteractiveProcess",,
sppsvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Software Protection,System.ServiceProcess.ServiceController[],.,sppsvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
sppuinotify,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,SPP Notification Service,System.ServiceProcess.ServiceController[],.,sppuinotify,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
SQLAgent$SQLEXPRESS,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,SQL Server Agent (SQLEXPRESS),System.ServiceProcess.ServiceController[],.,SQLAgent$SQLEXPRESS,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
SQLBrowser,System.ServiceProcess.ServiceController[],TRUE,TRUE,TRUE,SQL Server Browser,System.ServiceProcess.ServiceController[],.,SQLBrowser,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
SQLWriter,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,SQL Server VSS Writer,System.ServiceProcess.ServiceController[],.,SQLWriter,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
SSDPSRV,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,SSDP Discovery,System.ServiceProcess.ServiceController[],.,SSDPSRV,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
SstpSvc,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Secure Socket Tunneling Protocol Service,System.ServiceProcess.ServiceController[],.,SstpSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
stisvc,System.ServiceProcess.ServiceController[],TRUE,TRUE,TRUE,Windows Image Acquisition (WIA),System.ServiceProcess.ServiceController[],.,stisvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
StorSvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Storage Service,System.ServiceProcess.ServiceController[],.,StorSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
SUService,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,System Update,System.ServiceProcess.ServiceController[],.,SUService,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
swprv,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Microsoft Software Shadow Copy Provider,System.ServiceProcess.ServiceController[],.,swprv,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
SysMain,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Superfetch,System.ServiceProcess.ServiceController[],.,SysMain,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
TabletInputService,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Tablet PC Input Service,System.ServiceProcess.ServiceController[],.,TabletInputService,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
TapiSrv,System.ServiceProcess.ServiceController[],TRUE,FALSE,TRUE,Telephony,System.ServiceProcess.ServiceController[],.,TapiSrv,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
TBS,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,TPM Base Services,System.ServiceProcess.ServiceController[],.,TBS,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
TermService,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Remote Desktop Services,System.ServiceProcess.ServiceController[],.,TermService,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
Themes,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Themes,System.ServiceProcess.ServiceController[],.,Themes,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
THREADORDER,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Thread Ordering Server,System.ServiceProcess.ServiceController[],.,THREADORDER,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
Tomcat8,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Apache Tomcat 8.5 Tomcat8,System.ServiceProcess.ServiceController[],.,Tomcat8,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
TPHDEXLGSVC,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,ThinkPad HDD APS Logging Service,System.ServiceProcess.ServiceController[],.,TPHDEXLGSVC,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
TPHKLOAD,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Lenovo Hotkey Client Loader,System.ServiceProcess.ServiceController[],.,TPHKLOAD,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
TPHKSVC,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,On Screen Display,System.ServiceProcess.ServiceController[],.,TPHKSVC,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
TrkWks,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Distributed Link Tracking Client,System.ServiceProcess.ServiceController[],.,TrkWks,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
TrustedInstaller,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Windows Modules Installer,System.ServiceProcess.ServiceController[],.,TrustedInstaller,System.ServiceProcess.ServiceController[],,Stopped,Win32OwnProcess,,
UI0Detect,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Interactive Services Detection,System.ServiceProcess.ServiceController[],.,UI0Detect,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,"Win32OwnProcess, InteractiveProcess",,
UmRdpService,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Remote Desktop Services UserMode Port Redirector,System.ServiceProcess.ServiceController[],.,UmRdpService,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
upnphost,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,UPnP Device Host,System.ServiceProcess.ServiceController[],.,upnphost,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
UxSms,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Desktop Window Manager Session Manager,System.ServiceProcess.ServiceController[],.,UxSms,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
VaultSvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Credential Manager,System.ServiceProcess.ServiceController[],.,VaultSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
vds,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Virtual Disk,System.ServiceProcess.ServiceController[],.,vds,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
vpnagent,System.ServiceProcess.ServiceController[],TRUE,TRUE,TRUE,Cisco AnyConnect Secure Mobility Agent,System.ServiceProcess.ServiceController[],.,vpnagent,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
VSS,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Volume Shadow Copy,System.ServiceProcess.ServiceController[],.,VSS,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
W32Time,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Windows Time,System.ServiceProcess.ServiceController[],.,W32Time,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
W3SVC,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,World Wide Web Publishing Service,System.ServiceProcess.ServiceController[],.,W3SVC,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
WAS,System.ServiceProcess.ServiceController[],TRUE,TRUE,TRUE,Windows Process Activation Service,System.ServiceProcess.ServiceController[],.,WAS,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
WatAdminSvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Windows Activation Technologies Service,System.ServiceProcess.ServiceController[],.,WatAdminSvc,System.ServiceProcess.ServiceController[],,Stopped,Win32OwnProcess,,
wbengine,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Block Level Backup Engine Service,System.ServiceProcess.ServiceController[],.,wbengine,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
WbioSrvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Windows Biometric Service,System.ServiceProcess.ServiceController[],.,WbioSrvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
wcncsvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Windows Connect Now - Config Registrar,System.ServiceProcess.ServiceController[],.,wcncsvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
WcsPlugInService,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Windows Color System,System.ServiceProcess.ServiceController[],.,WcsPlugInService,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
WdiServiceHost,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Diagnostic Service Host,System.ServiceProcess.ServiceController[],.,WdiServiceHost,System.ServiceProcess.ServiceController[],,Running,Win32ShareProcess,,
WdiSystemHost,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Diagnostic System Host,System.ServiceProcess.ServiceController[],.,WdiSystemHost,System.ServiceProcess.ServiceController[],,Stopped,Win32ShareProcess,,
WebClient,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,WebClient,System.ServiceProcess.ServiceController[],.,WebClient,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
Wecsvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Windows Event Collector,System.ServiceProcess.ServiceController[],.,Wecsvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
wercplsupport,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Problem Reports and Solutions Control Panel Support,System.ServiceProcess.ServiceController[],.,wercplsupport,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
WerSvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Windows Error Reporting Service,System.ServiceProcess.ServiceController[],.,WerSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
WinDefend,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Windows Defender,System.ServiceProcess.ServiceController[],.,WinDefend,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
WinHttpAutoProxySvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,WinHTTP Web Proxy Auto-Discovery Service,System.ServiceProcess.ServiceController[],.,WinHttpAutoProxySvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
Winmgmt,System.ServiceProcess.ServiceController[],TRUE,TRUE,TRUE,Windows Management Instrumentation,System.ServiceProcess.ServiceController[],.,Winmgmt,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
WinRM,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Windows Remote Management (WS-Management),System.ServiceProcess.ServiceController[],.,WinRM,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
Wlansvc,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,WLAN AutoConfig,System.ServiceProcess.ServiceController[],.,Wlansvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
wmiApSrv,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,WMI Performance Adapter,System.ServiceProcess.ServiceController[],.,wmiApSrv,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
WMPNetworkSvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Windows Media Player Network Sharing Service,System.ServiceProcess.ServiceController[],.,WMPNetworkSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
WMSVC,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Web Management Service,System.ServiceProcess.ServiceController[],.,WMSVC,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
WPCSvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Parental Controls,System.ServiceProcess.ServiceController[],.,WPCSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
WPDBusEnum,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Portable Device Enumerator Service,System.ServiceProcess.ServiceController[],.,WPDBusEnum,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
wscsvc,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Security Center,System.ServiceProcess.ServiceController[],.,wscsvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
WsDrvInst,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Wondershare Driver Install Service,System.ServiceProcess.ServiceController[],.,WsDrvInst,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
WSearch,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Windows Search,System.ServiceProcess.ServiceController[],.,WSearch,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
wuauserv,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Windows Update,System.ServiceProcess.ServiceController[],.,wuauserv,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
wudfsvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Windows Driver Foundation - User-mode Driver Framework,System.ServiceProcess.ServiceController[],.,wudfsvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
WwanSvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,WWAN AutoConfig,System.ServiceProcess.ServiceController[],.,WwanSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
ZeroConfigService,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Intel(R) PROSet/Wireless Zero Configuration Service,System.ServiceProcess.ServiceController[],.,ZeroConfigService,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
